Year,Country,Continent,Crop_Type,extreme_weather_model
2001,Canada,North America,Coffee,1
2012,India,South Asia,Wheat,1
1999,Nigeria,Africa,Soybeans,1
1990,France,Europe,Soybeans,1
2017,Nigeria,Africa,Coffee,1
1996,Argentina,South America,Coffee,1
2002,Canada,North America,Soybeans,1
2024,Canada,North America,Barley,1
2004,China,East Asia,Rice,1
2015,Brazil,South America,Sugarcane,1
2008,Brazil,South America,Fruits,1
2005,Brazil,South America,Cotton,1
1998,Argentina,South America,Soybeans,1
2019,Argentina,South America,Rice,1
2015,Argentina,South America,Rice,1
2007,India,South Asia,Vegetables,1
1992,Canada,North America,Sugarcane,1
2013,India,South Asia,Cotton,1
2013,Canada,North America,Cotton,1
2008,France,Europe,Soybeans,1
2014,Canada,North America,Coffee,1
1999,Australia,Oceania,Barley,1
2003,France,Europe,Cotton,1
2012,France,Europe,Coffee,1
2002,India,South Asia,Corn,1
1991,China,East Asia,Wheat,1
2009,China,East Asia,Rice,1
2012,Brazil,South America,Barley,1
2019,Australia,Oceania,Wheat,1
2016,Brazil,South America,Soybeans,1
2005,China,East Asia,Corn,1
2010,Brazil,South America,Vegetables,1
1997,Argentina,South America,Soybeans,1
2016,Nigeria,Africa,Barley,1
2020,India,South Asia,Sugarcane,1
1992,Canada,North America,Wheat,1
1995,Nigeria,Africa,Fruits,1
2017,Argentina,South America,Coffee,1
2002,France,Europe,Fruits,1
2014,Australia,Oceania,Rice,1
2019,Australia,Oceania,Rice,1
1997,USA,North America,Coffee,1
2011,Brazil,South America,Fruits,1
2012,USA,North America,Vegetables,1
1990,Nigeria,Africa,Vegetables,1
1993,Argentina,South America,Cotton,1
2018,Canada,North America,Coffee,1
2008,France,Europe,Cotton,1
2010,Brazil,South America,Corn,1
2016,Nigeria,Africa,Corn,1
1992,India,South Asia,Cotton,1
2009,Russia,Eurasia,Rice,1
2021,Canada,North America,Vegetables,1
2002,Canada,North America,Sugarcane,1
1994,Russia,Eurasia,Rice,1
2021,Russia,Eurasia,Coffee,1
2005,USA,North America,Fruits,1
2004,Canada,North America,Soybeans,1
2017,Argentina,South America,Rice,1
2017,Nigeria,Africa,Corn,1
2011,Canada,North America,Cotton,1
1998,Canada,North America,Corn,1
2010,Argentina,South America,Soybeans,1
2014,Argentina,South America,Corn,1
2004,USA,North America,Vegetables,1
1993,Argentina,South America,Barley,1
1995,France,Europe,Soybeans,1
1997,Argentina,South America,Vegetables,1
2019,Argentina,South America,Wheat,1
1990,France,Europe,Rice,1
1996,Brazil,South America,Cotton,1
2017,Brazil,South America,Soybeans,1
2003,France,Europe,Cotton,1
2004,India,South Asia,Vegetables,1
2000,Brazil,South America,Rice,1
2024,Argentina,South America,Rice,1
1994,Canada,North America,Coffee,1
2018,France,Europe,Rice,1
1999,Nigeria,Africa,Corn,1
2011,Nigeria,Africa,Cotton,1
1992,China,East Asia,Sugarcane,1
2006,Brazil,South America,Fruits,1
1999,USA,North America,Fruits,1
1996,India,South Asia,Wheat,1
2021,Brazil,South America,Coffee,1
1997,Canada,North America,Vegetables,1
2012,Canada,North America,Coffee,1
2019,Canada,North America,Barley,1
2021,USA,North America,Barley,1
2019,Argentina,South America,Wheat,1
2014,France,Europe,Fruits,1
2003,France,Europe,Sugarcane,1
2024,Argentina,South America,Fruits,1
2003,Russia,Eurasia,Vegetables,1
2014,Nigeria,Africa,Soybeans,1
2000,Russia,Eurasia,Sugarcane,1
2011,Brazil,South America,Vegetables,1
2013,Australia,Oceania,Cotton,1
2015,Nigeria,Africa,Coffee,1
2019,Canada,North America,Cotton,1
2017,China,East Asia,Rice,1
2016,Brazil,South America,Wheat,1
2008,Australia,Oceania,Sugarcane,1
2010,Nigeria,Africa,Vegetables,1
2009,Russia,Eurasia,Wheat,1
1999,Nigeria,Africa,Rice,1
1992,Nigeria,Africa,Fruits,1
1993,France,Europe,Corn,1
2001,Australia,Oceania,Vegetables,1
2015,Australia,Oceania,Fruits,1
1996,Canada,North America,Barley,1
2023,Russia,Eurasia,Sugarcane,1
1995,India,South Asia,Vegetables,1
2018,Nigeria,Africa,Cotton,1
1992,Argentina,South America,Corn,1
1999,France,Europe,Wheat,1
1997,Australia,Oceania,Cotton,1
2016,Nigeria,Africa,Rice,1
2016,China,East Asia,Vegetables,1
2008,Nigeria,Africa,Soybeans,1
2014,China,East Asia,Wheat,1
2013,India,South Asia,Fruits,1
1999,Australia,Oceania,Sugarcane,1
2022,Nigeria,Africa,Coffee,1
2000,USA,North America,Fruits,1
1998,Russia,Eurasia,Barley,1
2015,USA,North America,Rice,1
2019,Brazil,South America,Vegetables,1
2024,Brazil,South America,Rice,1
2020,Russia,Eurasia,Rice,1
2013,China,East Asia,Sugarcane,1
2008,China,East Asia,Rice,1
2021,Argentina,South America,Vegetables,1
2014,Canada,North America,Vegetables,1
1997,USA,North America,Coffee,1
2021,Brazil,South America,Rice,1
1996,Argentina,South America,Rice,1
2006,Nigeria,Africa,Cotton,1
1997,India,South Asia,Vegetables,1
1995,Argentina,South America,Rice,1
2022,Australia,Oceania,Wheat,1
1992,Russia,Eurasia,Rice,1
1996,China,East Asia,Cotton,1
1999,France,Europe,Barley,1
2024,Nigeria,Africa,Barley,1
2002,France,Europe,Coffee,1
1998,China,East Asia,Rice,1
2024,Canada,North America,Coffee,1
2003,USA,North America,Barley,1
2000,Russia,Eurasia,Sugarcane,1
1999,China,East Asia,Barley,1
2016,Russia,Eurasia,Cotton,1
2016,Brazil,South America,Coffee,1
2008,France,Europe,Cotton,1
2022,USA,North America,Vegetables,1
2013,China,East Asia,Wheat,1
1992,Brazil,South America,Soybeans,1
2009,Australia,Oceania,Cotton,1
2012,China,East Asia,Vegetables,1
2004,USA,North America,Wheat,1
2018,Canada,North America,Sugarcane,1
2015,China,East Asia,Wheat,1
1998,Brazil,South America,Corn,1
2009,China,East Asia,Fruits,1
2002,Nigeria,Africa,Soybeans,1
2015,Australia,Oceania,Wheat,1
2001,USA,North America,Rice,1
2016,Argentina,South America,Fruits,1
1998,Australia,Oceania,Wheat,1
2024,Australia,Oceania,Wheat,1
2014,France,Europe,Vegetables,1
2017,India,South Asia,Sugarcane,1
1997,Canada,North America,Coffee,1
2007,Australia,Oceania,Corn,1
2013,Argentina,South America,Vegetables,1
2021,Australia,Oceania,Fruits,1
2004,Argentina,South America,Soybeans,1
2000,Nigeria,Africa,Corn,1
2007,China,East Asia,Wheat,1
1996,Canada,North America,Sugarcane,1
2012,USA,North America,Barley,1
1990,Russia,Eurasia,Sugarcane,1
2016,India,South Asia,Fruits,1
2000,Australia,Oceania,Barley,1
2019,Canada,North America,Soybeans,1
2010,Australia,Oceania,Barley,1
1999,Nigeria,Africa,Corn,1
1992,USA,North America,Wheat,1
2009,Canada,North America,Fruits,1
2012,China,East Asia,Wheat,1
2010,Australia,Oceania,Rice,1
2013,Russia,Eurasia,Wheat,1
2008,Canada,North America,Vegetables,1
2004,USA,North America,Cotton,1
1991,Nigeria,Africa,Fruits,1
2011,Brazil,South America,Vegetables,1
2001,Australia,Oceania,Barley,1
2009,Canada,North America,Wheat,1
2023,Canada,North America,Coffee,1
2019,France,Europe,Fruits,1
2009,Russia,Eurasia,Rice,1
2018,Nigeria,Africa,Vegetables,1
2001,China,East Asia,Coffee,1
2000,Russia,Eurasia,Corn,1
1997,Argentina,South America,Vegetables,1
2013,Nigeria,Africa,Soybeans,1
1999,USA,North America,Sugarcane,1
2009,Argentina,South America,Wheat,1
2006,USA,North America,Vegetables,1
1990,Brazil,South America,Sugarcane,1
2005,India,South Asia,Vegetables,1
2009,Australia,Oceania,Cotton,1
1996,Argentina,South America,Wheat,1
2006,USA,North America,Sugarcane,1
2006,France,Europe,Barley,1
2011,Canada,North America,Cotton,1
2017,India,South Asia,Soybeans,1
2019,Russia,Eurasia,Cotton,1
2003,Australia,Oceania,Sugarcane,1
1993,Brazil,South America,Wheat,1
2011,Russia,Eurasia,Rice,1
2014,China,East Asia,Sugarcane,1
2011,Brazil,South America,Wheat,1
1991,Argentina,South America,Coffee,1
2008,Argentina,South America,Rice,1
2018,France,Europe,Wheat,1
1994,Nigeria,Africa,Barley,1
2000,USA,North America,Wheat,1
2006,France,Europe,Corn,1
2007,China,East Asia,Wheat,1
2019,Canada,North America,Sugarcane,1
1990,Brazil,South America,Corn,1
2014,Australia,Oceania,Wheat,1
1992,France,Europe,Vegetables,1
1995,Australia,Oceania,Sugarcane,1
2003,India,South Asia,Corn,1
2019,India,South Asia,Coffee,1
1996,USA,North America,Cotton,1
2022,Nigeria,Africa,Soybeans,1
1992,Brazil,South America,Cotton,1
2016,Argentina,South America,Soybeans,1
2002,China,East Asia,Sugarcane,1
1993,India,South Asia,Vegetables,1
2006,China,East Asia,Coffee,1
2015,USA,North America,Vegetables,1
1994,China,East Asia,Barley,1
1995,Argentina,South America,Cotton,1
1999,Russia,Eurasia,Coffee,1
2008,Australia,Oceania,Sugarcane,1
2011,Argentina,South America,Barley,1
2017,Brazil,South America,Sugarcane,1
2013,Nigeria,Africa,Sugarcane,1
2022,Nigeria,Africa,Cotton,1
1996,Australia,Oceania,Fruits,1
2003,France,Europe,Corn,1
2004,Brazil,South America,Coffee,1
2016,Australia,Oceania,Wheat,1
2013,USA,North America,Sugarcane,1
1998,Australia,Oceania,Corn,1
2001,China,East Asia,Soybeans,1
1992,Nigeria,Africa,Soybeans,1
2021,Canada,North America,Vegetables,1
2011,USA,North America,Corn,1
2012,China,East Asia,Wheat,1
1997,India,South Asia,Barley,1
