,열 레이블,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,합계 : Economic_Impact_Million_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,개수 : Crop_Yield_MT_per_HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전체 합계 : Economic_Impact_Million_USD,전체 개수 : Crop_Yield_MT_per_HA
행 레이블,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
Argentina,17893.61,19699.96,16503.4,12800.6,13278.82,18340.91,28445.17,21309.63,14618.22,26013.81,14731.14,18130.65,19336.05,19578.05,17965.78,19801.87,17971.65,21108.51,21430.74,15300.8,24018.64,13755.13,17870.63,21183.59,19729.56,21799.17,19864.24,23535,16673.32,22401.99,22528.61,20128.9,17243.29,12886.97,15392.63,25,37,24,19,25,25,42,30,24,33,23,27,27,30,30,31,27,27,32,27,30,21,24,30,34,26,24,32,24,38,29,30,28,23,26,663271.04,984
Australia,20896.5,20544.46,17992.65,19638.24,20098.2,15999.11,22965.98,17831.6,20528.14,21232.52,14962.57,26489.13,12242.57,14644.28,22124.15,24066.23,15623.1,18949.79,25775.2,14481.17,16877.36,26487.11,28400.73,18101.51,29444.1,17489.28,14084.72,11136.52,14362.69,16992.91,16909.86,21999.81,19031.25,20604.22,23059.46,27,26,31,33,34,26,34,32,26,33,21,37,21,26,33,28,27,29,35,23,31,33,38,26,41,26,26,18,22,28,27,33,36,29,36,682067.12,1032
Brazil,10111.32,19150.06,14321.79,24932.69,17121.4,17698.71,21751.73,11646.06,19315,24745.42,21464.63,16213.83,19409.57,17024.41,14113.62,15978.78,18390.96,20720.63,15631.76,7772.38,19037.81,22176.61,19138.71,24575.5,10567.73,22477.08,24770.62,11962.2,16089.9,15701.15,19874.37,31181.62,16736.95,16034.53,19488.23,17,27,26,36,29,32,31,16,25,36,29,26,28,28,23,28,25,34,20,15,29,34,29,32,17,30,31,21,23,26,25,35,25,28,28,637327.76,944
Canada,19986.72,19333.49,15379.74,16719.39,29909.57,24052.49,21870.38,29176.26,12242.02,18956.87,25429.85,18180.87,25646.08,10994.76,17024.17,16911.12,11487.84,15954.7,19975.38,28654.04,22741.28,16507.53,18474.34,20917.64,19117.81,15619.03,12921.73,12222.4,22660.3,27251.84,13800.19,14139.72,16030.48,22839.42,16110.53,27,29,25,23,38,38,38,40,16,32,33,27,38,19,27,24,21,22,26,37,30,29,27,27,29,24,20,23,30,33,23,24,25,33,27,669239.98,984
China,20378.13,22551.17,18136.87,23449.26,17943.78,14471.31,19562.58,21448.95,10596.8,19293.26,22736.41,22680.94,21520.95,25431.86,18739.47,15319.7,17518.23,21478.22,27298.36,20982.94,13418.72,12425.02,25277.73,11261.47,23089.27,17786.61,23003.33,23690.63,25042.55,19531.32,29531.26,18142.99,17738.28,18483.39,15643.46,31,36,25,25,32,25,28,30,22,33,34,31,32,32,25,24,28,33,37,25,17,21,41,21,35,32,34,33,34,36,38,26,26,27,22,695605.22,1031
France,18138.92,22606.47,14914.59,19103.85,13194.41,9387.28,21628.26,17668.43,10971.16,23174.23,16636.52,21417.21,23811.81,20223.7,26364.66,13925.2,11601.11,19519.9,20798.2,17490.52,14424.42,11713.92,24039.2,22366.95,14450.52,17552.8,22235.02,20811.56,18756.78,15689.05,23362.94,21570.58,21983.71,19780.85,17319.81,24,31,26,28,18,17,31,29,18,36,22,34,38,30,37,19,20,29,30,29,31,16,31,32,25,27,35,29,29,23,34,31,35,28,26,648634.54,978
India,13030.86,25082.94,23571.36,10277.36,15674.4,16112.45,18358.84,17274.98,27784.75,21572.16,17525.38,19180.99,18206.96,17684.39,30701.8,18578.16,23671.68,16212.08,23650.71,25023.98,14589.18,16018.95,26954.78,24795.21,21010.5,15985.38,22780.41,18418.85,14530.59,24191.49,15822.62,17475.36,24608.67,28162.3,15977.47,24,34,34,17,21,29,28,28,33,31,28,33,26,28,44,27,34,28,29,36,24,28,37,34,30,20,30,25,20,38,21,32,31,36,27,700497.99,1025
Nigeria,20486.34,17687.94,29365.34,13860.33,24331.68,25048.9,14845.18,14586.06,14072.95,21696.99,28856.27,21024.46,16843.17,22295.7,19106.82,27007.9,12481.87,12603.12,21059.48,21452.88,19242.35,17656.49,16712.32,21639.94,17914.34,29045.67,30622.99,23696.82,21986.85,22642.93,22410.02,16412.27,23481.03,25569.67,11813.23,26,30,36,22,35,31,22,21,22,36,36,28,25,35,30,40,23,20,30,31,26,26,26,34,28,37,45,28,29,29,29,23,31,33,26,719560.3,1029
